# 韩国人名用汉字
# https://github.com/rutopio/Korean-Name-Hanja-Charset
# 由于发音等不同，汉字（hanja）存在重复。
# 
# hanja	unicode	hangul	consonant

悤	U+60A4	총	ㅊ
悧	U+60A7	리	ㄹ
悧	U+60A7	이	ㅇ
悰	U+60B0	종	ㅈ
悱	U+60B1	비	ㅂ
悲	U+60B2	비	ㅂ
悳	U+60B3	덕	ㄷ
悴	U+60B4	췌	ㅊ
悵	U+60B5	창	ㅊ
悶	U+60B6	민	ㅁ
悸	U+60B8	계	ㄱ
悻	U+60BB	행	ㅎ
悼	U+60BC	도	ㄷ
悽	U+60BD	처	ㅊ
悾	U+60BE	강	ㄱ
惀	U+60C0	논	ㄴ
惀	U+60C0	론	ㄹ
惄	U+60C4	녁	ㄴ
惄	U+60C4	역	ㅇ
情	U+60C5	정	ㅈ
惆	U+60C6	추	ㅊ
惇	U+60C7	돈	ㄷ
惉	U+60C9	첨	ㅊ
惋	U+60CB	완	ㅇ
惍	U+60CD	금	ㄱ
惏	U+60CF	남	ㄴ
惏	U+60CF	람	ㄹ
惑	U+60D1	혹	ㅎ
惓	U+60D3	권	ㄱ
惔	U+60D4	담	ㄷ
惕	U+60D5	척	ㅊ
惗	U+60D7	녑	ㄴ
惗	U+60D7	엽	ㅇ
惘	U+60D8	망	ㅁ
惙	U+60D9	철	ㅊ
惚	U+60DA	홀	ㅎ
惜	U+60DC	석	ㅅ
惝	U+60DD	창	ㅊ
惞	U+60DE	흔	ㅎ
惟	U+60DF	유	ㅇ
惠	U+60E0	혜	ㅎ
惡	U+60E1	악	ㅇ
惡	U+60E1	오	ㅇ
惢	U+60E2	쇄	
惢	U+60E2	예	
惰	U+60F0	타	ㅌ
惱	U+60F1	뇌	ㄴ
惲	U+60F2	운	ㅇ
想	U+60F3	상	ㅅ
惴	U+60F4	췌	ㅊ
惶	U+60F6	황	ㅎ
惷	U+60F7	준	ㅈ
惸	U+60F8	경	ㄱ
惹	U+60F9	야	ㅇ
惺	U+60FA	성	ㅅ
惻	U+60FB	측	ㅊ
惼	U+60FC	편	ㅍ
愀	U+6100	초	ㅊ
愁	U+6101	수	ㅅ
愃	U+6103	선	ㅅ
愃	U+6103	훤	ㅎ
愄	U+6104	외	ㅇ
愆	U+6106	건	ㄱ
愈	U+6108	유	ㅇ
愉	U+6109	유	ㅇ
愌	U+610C	환	ㅎ
愍	U+610D	민	ㅁ
愎	U+610E	퍅	ㅍ
意	U+610F	의	ㅇ
愐	U+6110	면	ㅁ
愔	U+6114	음	ㅇ
愕	U+6115	악	ㅇ
愖	U+6116	심	ㅅ
愚	U+611A	우	ㅇ
愛	U+611B	애	ㅇ
愜	U+611C	협	ㅎ
愞	U+611E	난	ㄴ
感	U+611F	감	ㄱ
愢	U+6122	새	ㅅ
愢	U+6122	시	ㅅ
愧	U+6127	괴	ㄱ
愨	U+6128	각	ㄱ
愫	U+612B	소	ㅅ
愬	U+612C	소	ㅅ
愭	U+612D	기	ㄱ
愰	U+6130	황	ㅎ
愴	U+6134	창	ㅊ
愷	U+6137	개	ㄱ
愻	U+613B	손	ㅅ
愼	U+613C	신	ㅅ
愼	U+613C	진	ㅈ
愾	U+613E	개	ㄱ
愿	U+613F	원	ㅇ
慂	U+6142	용	ㅇ
慄	U+6144	률	ㄹ
慄	U+6144	율	ㅇ
慆	U+6146	도	ㄷ
慇	U+6147	은	ㅇ
慈	U+6148	자	ㅈ
慊	U+614A	겸	ㄱ
態	U+614B	태	ㅌ
慌	U+614C	황	ㅎ
慍	U+614D	온	ㅇ
慏	U+614F	명	ㅁ
慒	U+6152	종	ㅈ
慓	U+6153	표	ㅍ
慔	U+6154	모	ㅁ
慕	U+6155	모	ㅁ
慘	U+6158	참	ㅊ
慙	U+6159	참	ㅊ
慚	U+615A	참	ㅊ
慜	U+615C	민	ㅁ
慝	U+615D	특	ㅌ
慟	U+615F	통	ㅌ
慠	U+6160	오	ㅇ
慡	U+6161	상	ㅅ
慢	U+6162	만	ㅁ
慣	U+6163	관	ㄱ
慤	U+6164	각	ㄱ
慧	U+6167	혜	ㅎ
慨	U+6168	개	ㄱ
慪	U+616A	우	ㅇ
慫	U+616B	종	ㅈ
慬	U+616C	근	ㄱ
慮	U+616E	려	ㄹ
慮	U+616E	여	ㅇ
慰	U+6170	위	ㅇ
慱	U+6171	단	ㄷ
慳	U+6173	간	ㄱ
慴	U+6174	습	ㅅ
慵	U+6175	용	ㅇ
慶	U+6176	경	ㄱ
慷	U+6177	강	ㄱ
慺	U+617A	누	ㄴ
慺	U+617A	루	ㄹ
慼	U+617C	척	ㅊ
慽	U+617D	척	ㅊ
慾	U+617E	욕	ㅇ
憁	U+6181	총	ㅊ
憂	U+6182	우	ㅇ
憃	U+6183	용	ㅇ
憊	U+618A	비	ㅂ
憍	U+618D	교	ㄱ
憎	U+618E	증	ㅈ
憐	U+6190	련	ㄹ
憐	U+6190	연	ㅇ
憑	U+6191	빙	ㅂ
憒	U+6192	궤	ㄱ
憓	U+6193	혜	ㅎ
憔	U+6194	초	ㅊ
憖	U+6196	은	ㅇ
憘	U+6198	희	ㅎ
憙	U+6199	희	ㅎ
憚	U+619A	탄	ㅌ
憤	U+61A4	분	ㅂ
憧	U+61A7	동	ㄷ
憨	U+61A8	감	ㄱ
憩	U+61A9	게	ㄱ
憪	U+61AA	한	ㅎ
憫	U+61AB	민	ㅁ
憬	U+61AC	경	ㄱ
憮	U+61AE	무	ㅁ
憯	U+61AF	참	ㅊ
憲	U+61B2	헌	ㅎ
憶	U+61B6	억	ㅇ
憸	U+61B8	섬	ㅅ
憺	U+61BA	담	ㄷ
憻	U+61BB	탄	ㅌ
憼	U+61BC	경	ㄱ
憽	U+61BD	송	ㅅ
憾	U+61BE	감	ㄱ
懁	U+61C1	환	ㅎ
懃	U+61C3	근	ㄱ
懆	U+61C6	조	ㅈ
懇	U+61C7	간	ㄱ
懈	U+61C8	해	ㅎ
應	U+61C9	응	ㅇ
懊	U+61CA	오	ㅇ
懋	U+61CB	무	ㅁ
懌	U+61CC	역	ㅇ
懍	U+61CD	름	ㄹ
懏	U+61CF	준	ㅈ
懕	U+61D5	염	ㅇ
懗	U+61D7	하	ㅎ
懞	U+61DE	몽	ㅁ
懟	U+61DF	대	ㄷ
懣	U+61E3	문	ㅁ
懦	U+61E6	나	ㄴ
懩	U+61E9	양	ㅇ
懬	U+61EC	광	ㄱ
懰	U+61F0	류	
懰	U+61F0	유	
懲	U+61F2	징	ㅈ
懶	U+61F6	나	ㄴ
懶	U+61F6	라	ㄹ
懷	U+61F7	회	ㅎ
懸	U+61F8	현	ㅎ
懺	U+61FA	참	ㅊ
懼	U+61FC	구	ㄱ
懽	U+61FD	환	ㅎ
懾	U+61FE	섭	ㅅ
懿	U+61FF	의	ㅇ
戀	U+6200	련	ㄹ
戀	U+6200	연	ㅇ
戇	U+6207	당	ㄷ
戈	U+6208	과	ㄱ
戊	U+620A	무	ㅁ
戌	U+620C	술	ㅅ
戍	U+620D	수	ㅅ
戎	U+620E	융	ㅇ
成	U+6210	성	ㅅ
我	U+6211	아	ㅇ
戒	U+6212	계	ㄱ
戕	U+6215	장	ㅈ
或	U+6216	혹	ㅎ
戚	U+621A	척	ㅊ
戟	U+621F	극	ㄱ
戡	U+6221	감	ㄱ
戢	U+6222	집	ㅈ
戧	U+6227	창	ㅊ
戩	U+6229	전	ㅈ
截	U+622A	절	ㅈ
戭	U+622D	연	ㅇ
戭	U+622D	인	ㅇ
戮	U+622E	륙	ㄹ
戮	U+622E	육	ㅇ
戰	U+6230	전	ㅈ
戱	U+6231	희	ㅎ
戲	U+6232	희	ㅎ
戳	U+6233	착	ㅊ
戴	U+6234	대	ㄷ
戵	U+6235	구	ㄱ
戶	U+6236	호	ㅎ
戹	U+6239	액	ㅇ
戾	U+623E	려	ㄹ
戾	U+623E	여	ㅇ
房	U+623F	방	ㅂ
所	U+6240	소	ㅅ
扁	U+6241	편	ㅍ
扃	U+6243	경	ㄱ
扇	U+6247	선	ㅅ
扈	U+6248	호	ㅎ
扉	U+6249	비	ㅂ
扊	U+624A	염	ㅇ
手	U+624B	수	ㅅ
才	U+624D	재	ㅈ
扎	U+624E	찰	ㅊ
扑	U+6251	복	ㅂ
扒	U+6252	배	ㅂ
打	U+6253	타	ㅌ
扗	U+6257	재	ㅈ
托	U+6258	탁	ㅌ
扛	U+625B	강	ㄱ
扜	U+625C	우	ㅇ
扝	U+625D	우	ㅇ
扞	U+625E	한	ㅎ
扠	U+6260	차	ㅊ
扣	U+6263	구	ㄱ
扨	U+6268	인	ㅇ
扮	U+626E	분	ㅂ
扱	U+6271	급	ㄱ
扳	U+6273	반	ㅂ
扶	U+6276	부	ㅂ
扷	U+6277	오	ㅇ
批	U+6279	비	ㅂ
扺	U+627A	지	ㅈ
扼	U+627C	액	ㅇ
找	U+627E	조	ㅈ
承	U+627F	승	ㅅ
技	U+6280	기	ㄱ
抁	U+6281	연	ㅇ
抃	U+6283	변	ㅂ
抄	U+6284	초	ㅊ
抆	U+6286	문	ㅁ
抉	U+6289	결	ㄱ
把	U+628A	파	ㅍ
抎	U+628E	운	ㅇ
抏	U+628F	완	ㅇ
抑	U+6291	억	ㅇ
抒	U+6292	서	ㅅ
抔	U+6294	부	ㅂ
投	U+6295	투	ㅌ
抖	U+6296	두	ㄷ
抗	U+6297	항	ㅎ
折	U+6298	절	ㅈ
抛	U+629B	포	ㅍ
抦	U+62A6	병	ㅂ
抨	U+62A8	평	ㅍ
披	U+62AB	피	ㅍ
抬	U+62AC	대	ㄷ
抮	U+62AE	진	ㅈ
抱	U+62B1	포	ㅍ
抲	U+62B2	하	ㅎ
抴	U+62B4	설	ㅅ
抵	U+62B5	저	ㅈ
抹	U+62B9	말	ㅁ
押	U+62BC	압	ㅇ
抽	U+62BD	추	ㅊ
抾	U+62BE	거	
抾	U+62BE	겁	
抿	U+62BF	민	ㅁ
拂	U+62C2	불	ㅂ
拄	U+62C4	주	ㅈ
担	U+62C5	단	ㄷ
拆	U+62C6	탁	ㅌ
拇	U+62C7	무	ㅁ
拈	U+62C8	념	ㄴ
拈	U+62C8	염	ㅇ
拉	U+62C9	납	ㄴ
拉	U+62C9	랍	ㄹ
拊	U+62CA	부	ㅂ
拋	U+62CB	포	ㅍ
拌	U+62CC	반	ㅂ
拍	U+62CD	박	ㅂ
拏	U+62CF	나	ㄴ
拐	U+62D0	괴	ㄱ
拑	U+62D1	겸	ㄱ
拒	U+62D2	거	ㄱ
拓	U+62D3	척	ㅊ
拓	U+62D3	탁	ㅌ
拔	U+62D4	발	ㅂ
拕	U+62D5	타	ㅌ
拖	U+62D6	타	ㅌ
拗	U+62D7	요	ㅇ
拘	U+62D8	구	ㄱ
拙	U+62D9	졸	ㅈ
招	U+62DB	초	ㅊ
拜	U+62DC	배	ㅂ
拫	U+62EB	흔	ㅎ
括	U+62EC	괄	ㄱ
拭	U+62ED	식	ㅅ
拮	U+62EE	길	ㄱ
拯	U+62EF	증	ㅈ
拱	U+62F1	공	ㄱ
拳	U+62F3	권	ㄱ
拵	U+62F5	존	ㅈ
拷	U+62F7	고	ㄱ
拹	U+62F9	협	ㅎ
拽	U+62FD	예	ㅇ
拾	U+62FE	습	ㅅ
拾	U+62FE	십	ㅅ
拿	U+62FF	나	ㄴ
持	U+6301	지	ㅈ
挂	U+6302	괘	ㄱ
指	U+6307	지	ㅈ
挈	U+6308	계	
挈	U+6308	설	
按	U+6309	안	ㅇ
挌	U+630C	격	ㄱ
挏	U+630F	동	ㄷ
挐	U+6310	나	ㄴ
挑	U+6311	도	ㄷ
挒	U+6312	렬	ㄹ
挒	U+6312	열	ㅇ
挓	U+6313	차	ㅊ
挨	U+6328	애	ㅇ
挪	U+632A	나	ㄴ
挫	U+632B	좌	ㅈ
挭	U+632D	경	ㄱ
振	U+632F	진	ㅈ
挰	U+6330	정	ㅈ
挶	U+6336	국	ㄱ
挹	U+6339	읍	ㅇ
挺	U+633A	정	ㅈ
挻	U+633B	연	ㅇ
挽	U+633D	만	ㅁ
挾	U+633E	협	ㅎ
捀	U+6340	봉	ㅂ
捂	U+6342	오	ㅇ
捃	U+6343	군	ㄱ
捄	U+6344	구	ㄱ
捅	U+6345	통	ㅌ
捆	U+6346	곤	ㄱ
捈	U+6348	도	ㄷ
捉	U+6349	착	ㅊ
捌	U+634C	팔	ㅍ
捍	U+634D	한	ㅎ
捎	U+634E	소	ㅅ
捏	U+634F	날	ㄴ
捐	U+6350	연	ㅇ
捒	U+6352	속	
捒	U+6352	송	
捒	U+6352	수	
捓	U+6353	야	ㅇ
捕	U+6355	포	ㅍ
捖	U+6356	완	ㅇ
捗	U+6357	척	ㅊ
捘	U+6358	준	ㅈ
捚	U+635A	재	ㅈ
捧	U+6367	봉	ㅂ
捨	U+6368	사	ㅅ
捩	U+6369	렬	ㄹ
捩	U+6369	열	ㅇ
捫	U+636B	문	ㅁ
捬	U+636C	부	ㅂ
据	U+636E	거	ㄱ
捱	U+6371	애	ㅇ
捲	U+6372	권	ㄱ
捶	U+6376	추	ㅊ
捷	U+6377	첩	ㅊ
捺	U+637A	날	ㄴ
捻	U+637B	념	ㄴ
捻	U+637B	염	ㅇ
捿	U+637F	서	ㅅ
掀	U+6380	흔	ㅎ
掃	U+6383	소	ㅅ
掄	U+6384	논	ㄴ
掄	U+6384	론	ㄹ
掄	U+6384	륜	ㄹ
掄	U+6384	윤	ㅇ
掆	U+6386	강	ㄱ
掇	U+6387	철	ㅊ
授	U+6388	수	ㅅ
掉	U+6389	도	ㄷ
掊	U+638A	부	ㅂ
掌	U+638C	장	ㅈ
掎	U+638E	기	ㄱ
掏	U+638F	도	ㄷ
掑	U+6391	기	ㄱ
排	U+6392	배	ㅂ
掔	U+6394	견	ㄱ
掖	U+6396	액	ㅇ
掘	U+6398	굴	ㄱ
掛	U+639B	괘	ㄱ
掜	U+639C	예	ㅇ
掟	U+639F	정	ㅈ
掠	U+63A0	략	ㄹ
掠	U+63A0	약	ㅇ
採	U+63A1	채	ㅊ
探	U+63A2	탐	ㅌ
接	U+63A5	접	ㅈ
控	U+63A7	공	ㄱ
推	U+63A8	추	ㅊ
掩	U+63A9	엄	ㅇ
措	U+63AA	조	ㅈ
掬	U+63AC	국	ㄱ
掾	U+63BE	연	ㅇ
揀	U+63C0	간	ㄱ
揁	U+63C1	정	ㅈ
揂	U+63C2	추	ㅊ
揃	U+63C3	전	ㅈ
揄	U+63C4	유	ㅇ
揆	U+63C6	규	ㄱ
揇	U+63C7	남	ㄴ
揉	U+63C9	유	ㅇ
描	U+63CF	묘	ㅁ
提	U+63D0	제	ㅈ
插	U+63D2	삽	ㅅ
揖	U+63D6	읍	ㅇ
揗	U+63D7	순	ㅅ
揚	U+63DA	양	ㅇ
換	U+63DB	환	ㅎ
揟	U+63DF	서	ㅅ
揠	U+63E0	알	ㅇ
握	U+63E1	악	ㅇ
揣	U+63E3	췌	ㅊ
揩	U+63E9	개	ㄱ
揪	U+63EA	추	ㅊ
揫	U+63EB	추	ㅊ
揭	U+63ED	게	ㄱ
揮	U+63EE	휘	ㅎ
揲	U+63F2	설	ㅅ
援	U+63F4	원	ㅇ
揵	U+63F5	건	ㄱ
揶	U+63F6	야	ㅇ
揷	U+63F7	삽	ㅅ
搆	U+6406	구	ㄱ
搉	U+6409	각	ㄱ
搌	U+640C	전	ㅈ
損	U+640D	손	ㅅ
搒	U+6412	방	ㅂ
搔	U+6414	소	ㅅ
搖	U+6416	요	ㅇ
搗	U+6417	도	ㄷ
搘	U+6418	지	ㅈ
搜	U+641C	수	ㅅ
搠	U+6420	삭	ㅅ
搢	U+6422	진	ㅈ
搤	U+6424	액	ㅇ
搥	U+6425	추	ㅊ
搨	U+6428	탑	ㅌ
搪	U+642A	당	ㄷ
搫	U+642B	반	ㅂ
搬	U+642C	반	ㅂ
搯	U+642F	도	ㄷ
搰	U+6430	골	ㄱ
搴	U+6434	건	ㄱ
搶	U+6436	창	ㅊ
搷	U+6437	전	ㅈ
搸	U+6438	진	ㅈ
搹	U+6439	격	ㄱ
携	U+643A	휴	ㅎ
搾	U+643E	착	ㅊ
摓	U+6453	봉	ㅂ
摗	U+6457	수	ㅅ
摘	U+6458	적	ㅈ
摛	U+645B	리	ㄹ
摛	U+645B	이	ㅇ
摝	U+645D	록	ㄹ
摞	U+645E	나	ㄴ
摞	U+645E	라	ㄹ
摟	U+645F	누	ㄴ
摟	U+645F	루	ㄹ
摠	U+6460	총	ㅊ
摡	U+6461	개	ㄱ
摧	U+6467	최	ㅊ
摩	U+6469	마	ㅁ
摭	U+646D	척	ㅊ
摯	U+646F	지	ㅈ
摰	U+6470	체	ㅊ
摳	U+6473	구	ㄱ
摸	U+6478	모	ㅁ
摹	U+6479	모	ㅁ
摺	U+647A	접	ㅈ
摻	U+647B	섬	ㅅ
摽	U+647D	표	ㅍ
撅	U+6485	궤	ㄱ
撈	U+6488	노	ㄴ
撈	U+6488	로	ㄹ
撌	U+648C	귀	ㄱ
撐	U+6490	탱	ㅌ
撑	U+6491	탱	ㅌ
撒	U+6492	살	ㅅ
撓	U+6493	뇨	ㄴ
撓	U+6493	요	ㅇ
撕	U+6495	서	ㅅ
撗	U+6497	광	ㄱ
撙	U+6499	준	ㅈ
撚	U+649A	년	ㄴ
撚	U+649A	연	ㅇ
撛	U+649B	린	ㄹ
撛	U+649B	인	ㅇ
撝	U+649D	휘	ㅎ
撞	U+649E	당	ㄷ
撟	U+649F	교	ㄱ
撤	U+64A4	철	ㅊ
撥	U+64A5	발	ㅂ
撩	U+64A9	료	ㄹ
撩	U+64A9	요	ㅇ
撫	U+64AB	무	ㅁ
播	U+64AD	파	ㅍ
撮	U+64AE	촬	ㅊ
撰	U+64B0	찬	ㅊ
撲	U+64B2	박	ㅂ
撻	U+64BB	달	ㄷ
撼	U+64BC	감	ㄱ
撾	U+64BE	과	ㄱ
撿	U+64BF	검	ㄱ
擁	U+64C1	옹	ㅇ
擄	U+64C4	노	ㄴ
擄	U+64C4	로	ㄹ
擅	U+64C5	천	ㅊ
擇	U+64C7	택	ㅌ
擉	U+64C9	착	ㅊ
擊	U+64CA	격	ㄱ
操	U+64CD	조	ㅈ
擎	U+64CE	경	ㄱ
擏	U+64CF	경	ㄱ
擐	U+64D0	환	ㅎ
擒	U+64D2	금	ㄱ
擔	U+64D4	담	ㄷ
擗	U+64D7	벽	ㅂ
擘	U+64D8	벽	ㅂ
據	U+64DA	거	ㄱ
擠	U+64E0	제	ㅈ
擡	U+64E1	대	ㄷ
擢	U+64E2	탁	ㅌ
擣	U+64E3	도	ㄷ
擥	U+64E5	남	ㄴ
擥	U+64E5	람	ㄹ
擦	U+64E6	찰	ㅊ
擧	U+64E7	거	ㄱ
擬	U+64EC	의	ㅇ
擯	U+64EF	빈	ㅂ
擱	U+64F1	각	ㄱ
擲	U+64F2	척	ㅊ
擴	U+64F4	확	ㅎ
擺	U+64FA	파	ㅍ
擻	U+64FB	수	ㅅ
擾	U+64FE	요	ㅇ
攀	U+6500	반	ㅂ
攂	U+6502	뇌	ㄴ
攂	U+6502	뢰	ㄹ
攄	U+6504	터	ㅌ
攇	U+6507	헌	ㅎ
攈	U+6508	군	ㄱ
攊	U+650A	력	ㄹ
攊	U+650A	역	ㅇ
攎	U+650E	로	ㄹ
攏	U+650F	농	ㄴ
攏	U+650F	롱	ㄹ
攓	U+6513	건	ㄱ
攔	U+6514	난	ㄴ
攔	U+6514	란	ㄹ
攖	U+6516	영	ㅇ
攘	U+6518	양	ㅇ
攙	U+6519	참	ㅊ
攛	U+651B	찬	ㅊ
攜	U+651C	휴	ㅎ
攝	U+651D	섭	ㅅ
攡	U+6521	리	ㄹ
攢	U+6522	찬	ㅊ
攣	U+6523	련	ㄹ
攣	U+6523	연	ㅇ
攤	U+6524	탄	ㅌ
攪	U+652A	교	ㄱ
攫	U+652B	확	ㅎ
攬	U+652C	남	ㄴ
攬	U+652C	람	ㄹ
支	U+652F	지	ㅈ
攱	U+6531	궤	
攱	U+6531	기	
攲	U+6532	기	ㄱ
收	U+6536	수	ㅅ
攷	U+6537	고	ㄱ
攸	U+6538	유	ㅇ
改	U+6539	개	ㄱ
攻	U+653B	공	ㄱ
攽	U+653D	반	ㅂ
放	U+653E	방	ㅂ
政	U+653F	정	ㅈ
敃	U+6543	민	ㅁ
故	U+6545	고	ㄱ
效	U+6548	효	ㅎ
敉	U+6549	미	ㅁ
敍	U+654D	서	ㅅ
敎	U+654E	교	ㄱ
敏	U+654F	민	ㅁ
敐	U+6550	진	ㅈ
救	U+6551	구	ㄱ
敒	U+6552	진	ㅈ
敔	U+6554	어	ㅇ
敕	U+6555	칙	ㅊ
敖	U+6556	오	ㅇ
敗	U+6557	패	ㅍ
敘	U+6558	서	ㅅ
教	U+6559	교	ㄱ
敝	U+655D	폐	ㅍ
敞	U+655E	창	ㅊ
敡	U+6561	이	ㅇ
敢	U+6562	감	ㄱ
散	U+6563	산	ㅅ
敤	U+6564	과	ㄱ
敦	U+6566	돈	ㄷ
敬	U+656C	경	ㄱ
敭	U+656D	양	ㅇ
敱	U+6571	애	ㅇ
敲	U+6572	고	ㄱ
整	U+6574	정	ㅈ
敵	U+6575	적	ㅈ
敶	U+6576	진	ㅈ
敷	U+6577	부	ㅂ
數	U+6578	삭	ㅅ
數	U+6578	수	ㅅ
敾	U+657E	선	ㅅ
斁	U+6581	두	ㄷ
斂	U+6582	렴	ㄹ
斂	U+6582	염	ㅇ
斃	U+6583	폐	ㅍ
斄	U+6584	태	ㅌ
斅	U+6585	효	ㅎ
文	U+6587	문	ㅁ
斌	U+658C	빈	ㅂ
斐	U+6590	비	ㅂ
斑	U+6591	반	ㅂ
斕	U+6595	난	ㄴ
斕	U+6595	란	ㄹ
斗	U+6597	두	ㄷ
料	U+6599	료	ㄹ
料	U+6599	요	ㅇ
斛	U+659B	곡	ㄱ
斜	U+659C	사	ㅅ
斝	U+659D	가	ㄱ
斟	U+659F	짐	ㅈ
斡	U+65A1	알	ㅇ
斤	U+65A4	근	ㄱ
斥	U+65A5	척	ㅊ
斦	U+65A6	은	ㅇ
斧	U+65A7	부	ㅂ
斫	U+65AB	작	ㅈ
斬	U+65AC	참	ㅊ
斯	U+65AF	사	ㅅ
新	U+65B0	신	ㅅ
斱	U+65B1	작	ㅈ
斲	U+65B2	착	ㅊ
斴	U+65B4	린	ㄹ
斴	U+65B4	인	ㅇ
斷	U+65B7	단	ㄷ
方	U+65B9	방	ㅂ
於	U+65BC	어	ㅇ
施	U+65BD	시	ㅅ
旁	U+65C1	방	ㅂ
旂	U+65C2	기	ㄱ
旃	U+65C3	전	ㅈ
旄	U+65C4	모	ㅁ
旅	U+65C5	려	ㄹ
旅	U+65C5	여	ㅇ
旆	U+65C6	패	ㅍ
旊	U+65CA	방	ㅂ
旋	U+65CB	선	ㅅ
旌	U+65CC	정	ㅈ
族	U+65CF	족	ㅈ
旒	U+65D2	류	ㄹ
旒	U+65D2	유	ㅇ
旗	U+65D7	기	ㄱ
无	U+65E0	무	ㅁ
旣	U+65E3	기	ㄱ
日	U+65E5	일	ㅇ
旦	U+65E6	단	ㄷ
旨	U+65E8	지	ㅈ
早	U+65E9	조	ㅈ
旬	U+65EC	순	ㅅ
旭	U+65ED	욱	ㅇ
旱	U+65F1	한	ㅎ
旲	U+65F2	대	ㄷ
旴	U+65F4	우	ㅇ
旵	U+65F5	참	ㅊ
旹	U+65F9	시	ㅅ
旺	U+65FA	왕	ㅇ
旻	U+65FB	민	ㅁ
旼	U+65FC	민	ㅁ
旽	U+65FD	돈	ㄷ
旿	U+65FF	오	ㅇ
昀	U+6600	윤	ㅇ
昂	U+6602	앙	ㅇ
昃	U+6603	측	ㅊ
昄	U+6604	판	ㅍ
昆	U+6606	곤	ㄱ
昇	U+6607	승	ㅅ
昈	U+6608	호	ㅎ
昉	U+6609	방	ㅂ
昊	U+660A	호	ㅎ
昋	U+660B	계	ㄱ
昌	U+660C	창	ㅊ
昍	U+660D	헌	ㅎ
昍	U+660D	훤	ㅎ
明	U+660E	명	ㅁ
昏	U+660F	혼	ㅎ
昐	U+6610	분	ㅂ
昑	U+6611	금	ㄱ
易	U+6613	역	ㅇ
易	U+6613	이	ㅇ
昔	U+6614	석	ㅅ
昕	U+6615	흔	ㅎ
昛	U+661B	거	ㄱ
昜	U+661C	양	ㅇ
昞	U+661E	병	ㅂ
星	U+661F	성	ㅅ
映	U+6620	영	ㅇ
昡	U+6621	현	ㅎ
昣	U+6623	진	ㅈ
昤	U+6624	령	ㄹ
昤	U+6624	영	ㅇ
春	U+6625	춘	ㅊ
昧	U+6627	매	ㅁ
昨	U+6628	작	ㅈ
昫	U+662B	구	ㄱ
昭	U+662D	소	ㅅ
昭	U+662D	조	ㅈ
是	U+662F	시	ㅅ
昰	U+6630	하	ㅎ
昱	U+6631	욱	ㅇ
昴	U+6634	묘	ㅁ
昵	U+6635	닐	ㄴ
昵	U+6635	일	ㅇ
昶	U+6636	창	ㅊ
昷	U+6637	온	ㅇ
昺	U+663A	병	ㅂ
昻	U+663B	앙	ㅇ
晀	U+6640	조	ㅈ
晁	U+6641	조	ㅈ
時	U+6642	시	ㅅ
晃	U+6643	황	ㅎ
晄	U+6644	황	ㅎ
晈	U+6648	교	ㄱ
晉	U+6649	진	ㅈ
晊	U+664A	질	ㅈ
晋	U+664B	진	ㅈ
晌	U+664C	상	ㅅ
晎	U+664E	홍	ㅎ
晏	U+664F	안	ㅇ
晐	U+6650	해	ㅎ
晑	U+6651	향	ㅎ
晘	U+6658	한	ㅎ
晙	U+6659	준	ㅈ
晚	U+665A	만	ㅁ
晛	U+665B	현	ㅎ
晝	U+665D	주	ㅈ
晞	U+665E	희	ㅎ
晟	U+665F	성	ㅅ
晠	U+6660	성	ㅅ
晡	U+6661	포	ㅍ
晢	U+6662	절	ㅈ
晢	U+6662	제	ㅈ
晤	U+6664	오	ㅇ
晥	U+6665	환	ㅎ
晦	U+6666	회	ㅎ
晧	U+6667	호	ㅎ
晨	U+6668	신	ㅅ
晫	U+666B	탁	ㅌ
晬	U+666C	수	ㅅ
晭	U+666D	주	ㅈ
普	U+666E	보	ㅂ
景	U+666F	경	ㄱ
晰	U+6670	석	ㅅ
晳	U+6673	석	ㅅ
晴	U+6674	청	ㅊ
晶	U+6676	정	ㅈ
晷	U+6677	귀	ㄱ
晸	U+6678	정	ㅈ
晹	U+6679	역	ㅇ
智	U+667A	지	ㅈ
晻	U+667B	암	ㅇ
晽	U+667D	림	ㄹ
晽	U+667D	임	ㅇ
晾	U+667E	량	
晾	U+667E	양	
晿	U+667F	창	ㅊ
暀	U+6680	왕	ㅇ
暄	U+6684	훤	ㅎ
暇	U+6687	가	ㄱ
暈	U+6688	운	ㅇ
暈	U+6688	훈	ㅎ
暉	U+6689	휘	ㅎ
暋	U+668B	민	ㅁ
暌	U+668C	규	ㄱ
暎	U+668E	영	ㅇ
暏	U+668F	도	ㄷ
暐	U+6690	위	ㅇ
暑	U+6691	서	ㅅ
暔	U+6694	남	ㄴ
暖	U+6696	난	ㄴ
暗	U+6697	암	ㅇ
暘	U+6698	양	ㅇ
暚	U+669A	요	ㅇ
暝	U+669D	명	ㅁ
暞	U+669E	교	ㄱ
暟	U+669F	개	ㄱ
暠	U+66A0	고	ㄱ
暢	U+66A2	창	ㅊ
暣	U+66A3	기	ㄱ
暤	U+66A4	호	ㅎ
暫	U+66AB	잠	ㅈ
暬	U+66AC	설	ㅅ
暮	U+66AE	모	ㅁ
暱	U+66B1	닐	ㄴ
暱	U+66B1	일	ㅇ
暲	U+66B2	장	ㅈ
暳	U+66B3	혜	ㅎ
暴	U+66B4	포	ㅍ
暴	U+66B4	폭	ㅍ
暵	U+66B5	한	ㅎ
